pps,kbps,loss_rate,reorder_rate,jitter_mean_ms,jitter_max_ms,ia_mean_ms,ia_std_ms,owd_slope_ms_per_s,owd_range_ms,burst_mean_len,burst_frac,label
52.2358474370774,71.87652607341852,0.0,0.0,11.084952560529604,16.924517045022366,19.526820182800293,19.485289166946178,2.699465168761219,55.106163024902344,0.0,0.0,clean
52.12513277428627,71.72418269741792,0.0,0.0,13.517700242879387,21.546525124886998,19.5682954788208,23.383359409924992,10.857163952183287,59.736013412475586,0.0,0.0,clean
52.0643495531281,71.64054498510427,0.0,0.0,8.648592369720468,12.353299023421199,19.607146581013996,13.933896851626141,1.2245726989738812,26.01003646850586,0.0,0.0,clean
53.353036747859115,73.41377856505414,0.0,0.0196078431372549,14.391341046385836,20.8407969974812,19.117937088012695,22.157878820669065,-5.397918381398028,47.64986038208008,0.0,0.0,clean
51.91110354215002,71.42967847399842,0.0,0.0,13.07249243833552,18.242122075738852,19.65683820296307,21.202871543054993,1.1800813174709237,48.7208366394043,0.0,0.0,clean
52.46067789151469,72.18589277872421,0.0,0.0,12.972025971224621,19.338319022286832,19.45901910463969,21.15431919846351,-1.647717988281913,49.967050552368164,0.0,0.0,clean
50.98161152488977,70.15069745824832,0.0,0.0,10.359807128972049,16.97012804231776,20.02355953057607,19.104783776300213,18.883712555891584,59.02600288391113,0.0,0.0,clean
51.696196474519546,71.1339663489389,0.0,0.0,14.876825843619102,19.320185065844907,19.730658531188965,24.116365864036723,-11.07041117948365,73.44293594360352,0.0,0.0,clean
52.26424602140162,71.91560252544863,0.0,0.0,13.428599025121686,23.866523897596842,19.52401959166235,24.60269808184309,11.363232360734912,78.63497734069824,0.0,0.0,clean
53.434930671651685,73.52646460419273,0.0,0.02040816326530612,11.702752379027086,18.081613326240927,19.104232390721638,19.546443169725478,-0.36580793572310666,49.10421371459961,0.0,0.0,clean
53.186575737824654,73.18472821524672,0.0,0.04,11.887830477376955,17.019310455217056,19.185445746596976,20.113562295245078,-2.739799683683664,42.867183685302734,0.0,0.0,clean
53.38219261454767,73.45389703761758,0.0,0.0,12.618839262198016,18.251264231532762,19.115141459873744,20.12041788771346,1.2139153055190026,50.89282989501953,0.0,0.0,clean
53.370834471685896,73.43826823303979,0.0,0.0,10.778601567419072,15.263138522142123,19.11156177520752,17.90821678823745,-6.346402543915072,51.61404609680176,0.0,0.0,clean
53.305705508467035,73.34865077965065,0.0,0.02,13.44000915861712,18.694877335745193,19.142569327841,21.172743586013308,6.228980526327012,51.16605758666992,0.0,0.0,clean
